"1","1","1","Se connecter"
"2","1","2","Se connecter"
"3","1","3","E-mail"
"4","1","4","Mot de passe"
"5","2","1","Sign in"
"6","2","2","Please sign in"
"7","2","3","Email"
"8","2","4","Password"
"9","1","5","Introduction"
"10","2","5","Introduction"
"11","1","6","Bienvenue"
"12","2","6","Welcome"
"13","1","7","Tealfinder est un outil d'évaluation qui vous permet d'exprimer la façon dont vous percevez votre organisation, ainsi que vos aspirations au travail. Pour chaque thème, Tealfinder propose cinq stades évolutionnaires de l'organisation. Notre modèle est basé sur la Spirale Dynamique® ainsi que sur le livre ”Reinventing Organisations”."
"14","2","7","Tealfinder is a tool which allow you to assess the way you see your organization, and your work ambition. For each theme, Tealfinder is offering 5 evolutionary stages of your organization. Our model is based on Spiral Dynamics as well as on the book ”Reinventing Organisations”."
"15","1","8","Découvrez de nouveaux horizons et amorçez un changement dans votre organisation ! Partagez et discutez avec vos collègues ce que vous vivez et ce à quoi vous aspirez sur votre lieu de travail !"
"16","2","8","Discover new visions and start a change in your organization! Share and discuss with your colleagues your feelings and your work ambition!"
"17","1","9","Démarrer l'évaluation"
"18","2","9","Start the assessment"
"19","1","10","Les 5 stades d'évaluation d'une organisation"
"20","2","10","The 5 assessment stages of your organization"
"21","1","11","Il n'y a rien d'intrinsèquement ""meilleur"" d'être à un stade de développement plus élevé, comme un adolescent n'est pas ""meilleur"" qu'un jeune nourrisson. Néanmoins, le fait reste qu'un adolescent est capable de faire plus, car il ou elle peut penser d'une manière plus sophistiquée qu'un jeune nourrisson. Tous les stades de développement sont "" okay"". La question est plutôt de savoir si le stade de développement est en bonne adéquation avec la tache demandée."
"22","2","11","There is nothing inherently ""better"" being at a higher stage of development, as an adolescent is not ""better"" than a young infant. However, the fact remains that a teenager is able to do more because he or she can think in a more sophisticated way than a young infant. All stages of development are ""ok"". The question is rather knowing if the stage of development matches with the requested task."
"23","1","12","Évolutionnaire"
"24","2","12","Evolutionary"
"25","1","13","Pluraliste"
"26","2","13","Pluralistic"
"27","1","14","Orienté réussite"
"28","2","14","Achievement"
"29","1","15","Conformiste"
"30","2","15","Conformist"
"31","1","16","Impulsif"
"32","2","16","Impulsive"
"33","1","17","Métaphore"
"34","2","17","Metaphor"
"35","1","18","Être vivant"
"36","2","18","Living Organism"
"37","1","19","Percées"
"38","2","19","Breakthroughs"
"39","1","20","Auto-organisation"
"40","2","20","Self-organization"
"41","1","21","Plénitude"
"42","2","21","Wholeness"
"43","1","22","Raison d'être évolutive"
"44","2","22","Evolutionary purpose"
"45","1","23","Le paradigme est bien adapté à"
"46","2","23","The paradigm is well adapted to"
"47","1","24","Bien adapté à des environnements incertains où l'auto-organisation et la plénitude sont sources d'accomplissement personnel, d'adaptabilité et de développements évolutionnaires."
"48","2","24","Well adapted to uncertain environments where self-organization and wholeness are sources of personal achievement, adaptability and evolutionary developments."
"49","1","25","Famille"
"50","2","25","Family"
"51","1","26","Capacitation (Empowermenent)"
"52","2","26","Empowerment"
"53","1","27","Culture orientée valeurs et raison d'être inspirante"
"54","2","27","Values-driven culture"
"55","1","28","Perspectives multiples des parties prenantes"
"56","2","28","Stakeholder model"
"57","1","29","Bien adapté à des environnements dans lesquels l'honnêteté, l'égalité, la coopération et le consensus sont sources d'harmonie entre les collègues et les partenaires externes."
"58","2","29","Well adapted to environments in which honesty, equality, cooperation and consensus are sources of harmony between colleagues and external partners."
"59","1","30","Machine"
"60","2","30","Machine"
"61","1","31","Innovation"
"62","2","31","Innovation"
"63","1","32","Responsabilité"
"64","2","32","Accountability"
"65","1","33","Méritocratie"
"66","2","33","Meritocracy"
"67","1","34","Bien adapté aux environnements compétitifs dans lesquels l'innovation et les nouvelles idées d'affaires permettent une performance financière accrue."
"68","2","34","Well adapted to competitive environments in which innovation and new business ideas allow increased financial performance."
"69","1","35","Église/armée"
"70","2","35","Church/Army"
"71","1","36","Perspective long terme"
"72","2","36","Processes(long term perspectives)"
"73","1","37","Taille et stabilité grâce à la mise en place de structures hiérarchiques"
"74","2","37","Formal roles(stable and scalable hierarchies)"
